source_model,case_id,n_runs,forced_accuracy,structured_accuracy,delta_forced_minus_structured
claude-opus-4.6,E1,2,1.0,1.0,0.0
claude-opus-4.6,E10,2,1.0,1.0,0.0
claude-opus-4.6,E11,2,1.0,1.0,0.0
claude-opus-4.6,E12,2,1.0,1.0,0.0
claude-opus-4.6,E13,2,1.0,1.0,0.0
claude-opus-4.6,E14,2,1.0,1.0,0.0
claude-opus-4.6,E15,2,1.0,1.0,0.0
claude-opus-4.6,E16,2,1.0,1.0,0.0
claude-opus-4.6,E17,2,0.0,0.5,-0.5
claude-opus-4.6,E18,2,1.0,1.0,0.0
claude-opus-4.6,E19,2,1.0,1.0,0.0
claude-opus-4.6,E2,2,1.0,1.0,0.0
claude-opus-4.6,E20,2,0.0,0.0,0.0
claude-opus-4.6,E21,2,1.0,1.0,0.0
claude-opus-4.6,E22,2,1.0,1.0,0.0
claude-opus-4.6,E23,2,1.0,1.0,0.0
claude-opus-4.6,E24,2,1.0,1.0,0.0
claude-opus-4.6,E25,2,1.0,1.0,0.0
claude-opus-4.6,E26,2,1.0,1.0,0.0
claude-opus-4.6,E27,2,1.0,1.0,0.0
claude-opus-4.6,E3,2,1.0,1.0,0.0
claude-opus-4.6,E4,2,1.0,1.0,0.0
claude-opus-4.6,E5,2,1.0,1.0,0.0
claude-opus-4.6,E6,2,0.0,1.0,-1.0
claude-opus-4.6,E7,2,1.0,1.0,0.0
claude-opus-4.6,E8,2,1.0,0.0,1.0
claude-opus-4.6,E9,2,1.0,1.0,0.0
claude-opus-4.6,F1,2,1.0,1.0,0.0
claude-opus-4.6,F10,2,0.0,0.0,0.0
claude-opus-4.6,F11,2,1.0,1.0,0.0
claude-opus-4.6,F12,2,1.0,1.0,0.0
claude-opus-4.6,F13,2,1.0,1.0,0.0
claude-opus-4.6,F14,2,1.0,1.0,0.0
claude-opus-4.6,F15,2,1.0,1.0,0.0
claude-opus-4.6,F16,2,1.0,1.0,0.0
